Trace
Swept SA
A.03.08,N9010A
507 P07 FS1 ,01
Segment,0
Number of Points,1001
Sweep Time,4.362
Start Frequency,1749973204.67134
Stop Frequency,1750023204.67134
Average Count,0
Average Type,LogPower(Video)
RBW,300
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,30
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Wide
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Clearwrite
Detector,Normal
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
1749973204.67134,-68.7589805917724
1749973254.67134,-72.4293857994578
1749973304.67134,-69.4952022518465
1749973354.67134,-67.7666483794164
1749973404.67134,-67.1282836880915
1749973454.67134,-70.8636721041186
1749973504.67134,-68.4233610392171
1749973554.67134,-73.6793567055435
1749973604.67134,-70.4959432735077
1749973654.67134,-70.4959432735077
1749973704.67134,-69.7482538815856
1749973754.67134,-73.4714101487505
1749973804.67134,-73.5325706839806
1749973854.67134,-69.8950392236353
1749973904.67134,-69.7581921782973
1749973954.67134,-74.8200028064913
1749974004.67134,-66.3760063827874
1749974054.67134,-67.7956986042536
1749974104.67134,-66.4058222007194
1749974154.67134,-76.7305091761648
1749974204.67134,-69.2834318850643
1749974254.67134,-69.3644697716364
1749974304.67134,-74.6571619498873
1749974354.67134,-78.2671709478839
1749974404.67134,-78.7893301400783
1749974454.67134,-78.8795420892938
1749974504.67134,-76.547791020489
1749974554.67134,-78.700646946486
1749974604.67134,-75.8490302370834
1749974654.67134,-82.6088141630048
1749974704.67134,-78.9590505537972
1749974754.67134,-82.9910682236424
1749974804.67134,-79.686862398364
1749974854.67134,-79.3543011672437
1749974904.67134,-79.033207563431
1749974954.67134,-81.2739818739793
1749975004.67134,-79.056907091317
1749975054.67134,-79.056907091317
1749975104.67134,-79.9292112229042
1749975154.67134,-77.8038774848371
1749975204.67134,-77.2603119243264
1749975254.67134,-78.4345968822093
1749975304.67134,-80.5843946827847
1749975354.67134,-78.9009468503001
1749975404.67134,-77.6020468521983
1749975454.67134,-76.1601838061989
1749975504.67134,-76.8971698832872
1749975554.67134,-75.3964396315058
1749975604.67134,-74.9102121944649
1749975654.67134,-76.3673653187348
1749975704.67134,-74.2970762048113
1749975754.67134,-75.14873863338
1749975804.67134,-79.1478824513446
1749975854.67134,-78.0110581871843
1749975904.67134,-78.008000140168
1749975954.67134,-80.8504425517113
1749976004.67134,-78.64483559237
1749976054.67134,-82.4108042302757
1749976104.67134,-78.8734233686817
1749976154.67134,-75.7649317814558
1749976204.67134,-75.7228838015941
1749976254.67134,-76.1303667468487
1749976304.67134,-75.687716215171
1749976354.67134,-76.5982457188463
1749976404.67134,-75.6930676961758
1749976454.67134,-80.1035170410334
1749976504.67134,-78.3550860786126
1749976554.67134,-78.8275521538034
1749976604.67134,-79.1593488241663
1749976654.67134,-79.5469545487545
1749976704.67134,-78.7900910027161
1749976754.67134,-77.5989867013048
1749976804.67134,-75.7664598183631
1749976854.67134,-74.771834158951
1749976904.67134,-74.7313151307258
1749976954.67134,-74.7320796261454
1749977004.67134,-76.4048241176611
1749977054.67134,-76.38341777548
1749977104.67134,-76.5340258951816
1749977154.67134,-80.6317913079907
1749977204.67134,-80.2885268535096
1749977254.67134,-78.1693092486776
1749977304.67134,-77.6830818247044
1749977354.67134,-77.0676523618595
1749977404.67134,-77.0676523618595
1749977454.67134,-83.7463984012088
1749977504.67134,-78.602785181942
1749977554.67134,-78.3489682727297
1749977604.67134,-78.3153298862268
1749977654.67134,-75.3589754226093
1749977704.67134,-75.2213638818517
1749977754.67134,-80.9536484010209
1749977804.67134,-77.8061668809495
1749977854.67134,-77.9927068472777
1749977904.67134,-76.9919651591709
1749977954.67134,-76.6976293132063
1749978004.67134,-76.6326460787296
1749978054.67134,-77.5951621856673
1749978104.67134,-75.58526924223
1749978154.67134,-74.8842148810926
1749978204.67134,-74.8842148810926
1749978254.67134,-75.8000959311105
1749978304.67134,-74.2114472163724
1749978354.67134,-79.2954285906943
1749978404.67134,-77.1204018140289
1749978454.67134,-78.5882580832542
1749978504.67134,-78.606606143203
1749978554.67134,-78.6035480961868
1749978604.67134,-79.7120853111058
1749978654.67134,-80.0775202764987
1749978704.67134,-79.3336534923502
1749978754.67134,-81.5866598994905
1749978804.67134,-78.9835083961468
1749978854.67134,-76.845178039933
1749978904.67134,-76.0011606439656
1749978954.67134,-76.2909092299263
1749979004.67134,-76.3077284035764
1749979054.67134,-76.008805441351
1749979104.67134,-75.2106585546137
1749979154.67134,-80.7900414286197
1749979204.67134,-77.6295631989287
1749979254.67134,-77.0768235104368
1749979304.67134,-75.3062217496178
1749979354.67134,-75.5424548590848
1749979404.67134,-77.4705451199765
1749979454.67134,-77.2006735978715
1749979504.67134,-77.2366053922278
1749979554.67134,-78.1012644258758
1749979604.67134,-78.5140988913378
1749979654.67134,-77.3214655729521
1749979704.67134,-77.3306396617306
1749979754.67134,-74.8199936461314
1749979804.67134,-74.4912549835821
1749979854.67134,-77.7794058692788
1749979904.67134,-76.044735968154
1749979954.67134,-74.0860651848298
1749980004.67134,-74.085300663275
1749980054.67134,-76.4300481019429
1749980104.67134,-78.2014141752356
1749980154.67134,-76.4002320618624
1749980204.67134,-76.1127767922823
1749980254.67134,-75.8153829646393
1749980304.67134,-76.2771460124827
1749980354.67134,-78.7518599201041
1749980404.67134,-79.2411452081477
1749980454.67134,-79.7235500504824
1749980504.67134,-75.617374822166
1749980554.67134,-75.6135522666626
1749980604.67134,-75.8872462658657
1749980654.67134,-80.6172601191564
1749980704.67134,-75.195365836696
1749980754.67134,-76.2603261331844
