Trace
Swept SA
A.03.08,N9010A
1749959054.67134,-65.1883958871509
1749959104.67134,-66.4666541038291
1749959154.67134,-64.5416216808727
1749959204.67134,-67.2976746725687
1749959254.67134,-66.4276638704297
1749959304.67134,-66.3045779909283
1749959354.67134,-67.2571555136679
1749959404.67134,-70.919150997319
1749959454.67134,-67.9666192460156
1749959504.67134,-71.0720525902118
1749959554.67134,-66.2319492926206
1749959604.67134,-70.393933379149
1749959654.67134,-69.7792685162641
1749959704.67134,-72.8197186521187
1749959754.67134,-68.6133928511861
1749959804.67134,-67.7617303180769
1749959854.67134,-66.6004418215299
1749959904.67134,-67.6516409391141
1749959954.67134,-66.8099171208785
1749960004.67134,-67.2219870778534
1749960054.67134,-67.7472043693344
1749960104.67134,-71.1469734288196
1749960154.67134,-66.50334876016
1749960204.67134,-63.9353647125638
1749960254.67134,-63.8650299186769
1749960304.67134,-66.5209323246892
1749960354.67134,-66.4383653035347
1749960404.67134,-67.419229627232
1749960454.67134,-64.0324568592045
1749960504.67134,-65.527835486238
1749960554.67134,-63.9690026417021
1749960604.67134,-64.6211281983095
1749960654.67134,-63.1800296607973
1749960704.67134,-64.3038570846624
1749960754.67134,-66.1769027736807
1749960804.67134,-68.9658296695277
1749960854.67134,-67.6906294606631
1749960904.67134,-67.5904786920335
1749960954.67134,-66.2044247525297
1749961004.67134,-70.1898074438604
1749961054.67134,-69.1416662034141
1749961104.67134,-68.9543615195177
1749961154.67134,-65.8007639184815
1749961204.67134,-66.7487544033657
1749961254.67134,-65.2273823701605
1749961304.67134,-67.4482794861776
1749961354.67134,-65.2587272050668
1749961404.67134,-68.9589481261437
1749961454.67134,-64.7640899525186
1749961504.67134,-65.0377839778568
1749961554.67134,-64.4139449085854
1749961604.67134,-63.6968359084202
1749961654.67134,-66.2480006778258
1749961704.67134,-67.9383287992086
1749961754.67134,-65.4628502654921
1749961804.67134,-65.4039830074397
1749961854.67134,-65.4039830074397
1749961904.67134,-67.6111188792149
1749961954.67134,-65.6448029587488
1749962004.67134,-66.5316327646596
1749962054.67134,-64.3459028299713
1749962104.67134,-64.3459028169037
1749962154.67134,-64.3459028169037
1749962204.67134,-68.2357218689331
1749962254.67134,-63.1555628802364
1749962304.67134,-67.7563748645337
1749962354.67134,-63.8199205203683
1749962404.67134,-65.407804674349
1749962454.67134,-62.8122981905392
