Trace
Swept SA
A.03.08,N9010A
507 P07 FS1 ,01
Segment,0
Number of Points,1001
Sweep Time,4.362
Start Frequency,1749973204.67134
Stop Frequency,1750023204.67134
Average Count,0
Average Type,LogPower(Video)
RBW,300
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,30
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Wide
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Clearwrite
Detector,Normal
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
1749973204.67134,-62.0924666228799
1749973254.67134,-59.1192930378826
1749973304.67134,-59.343294011555
1749973354.67134,-58.7240419932066
1749973404.67134,-58.3456102267212
1749973454.67134,-59.8922108701247
1749973504.67134,-60.5397495195523
1749973554.67134,-64.0419627816557
1749973604.67134,-62.1757975252787
1749973654.67134,-63.9379894575227
1749973704.67134,-59.7232539978935
1749973754.67134,-61.0313280455711
1749973804.67134,-59.7247830018003
1749973854.67134,-61.3608309813915
1749973904.67134,-61.3608309813915
1749973954.67134,-63.4853999104175
1749974004.67134,-61.7132691326242
1749974054.67134,-61.7048595000627
1749974104.67134,-60.997689071028
1749974154.67134,-61.2018128109664
1749974204.67134,-63.6520623685931
1749974254.67134,-64.8546341405012
1749974304.67134,-61.7339104044131
1749974354.67134,-61.7339104044131
1749974404.67134,-61.7729002196506
1749974454.67134,-59.5711156720695
1749974504.67134,-59.8088777723757
1749974554.67134,-61.8600539911742
1749974604.67134,-64.3125970742624
1749974654.67134,-59.250021793838
1749974704.67134,-59.2989503239491
1749974754.67134,-59.0260206502874
1749974804.67134,-56.5987061251272
1749974854.67134,-56.5987061120596
1749974904.67134,-61.1605280720385
1749974954.67134,-62.7086577846865
1749975004.67134,-60.7752157683713
1749975054.67134,-66.1176009590853
1749975104.67134,-60.6460135726889
1749975154.67134,-60.6460135726889
1749975204.67134,-61.2239818844465
1749975254.67134,-64.6925567992497
1749975304.67134,-60.3478549621399
1749975354.67134,-58.1774152886678
1749975404.67134,-56.3540624945046
1749975454.67134,-59.9816552007736
1749975504.67134,-57.6667234232269
1749975554.67134,-58.3112040256383
1749975604.67134,-59.7377767842864
1749975654.67134,-57.4029677338031
1749975704.67134,-56.7355517722362
1749975754.67134,-59.6498580077083
1749975804.67134,-58.4312314530292
1749975854.67134,-61.21633575417
1749975904.67134,-59.1835075953204
1749975954.67134,-56.8800434450812
1749976004.67134,-56.8532856349628
1749976054.67134,-60.8669550488457
1749976104.67134,-58.8761749743983
1749976154.67134,-61.5840639183353
1749976204.67134,-58.8119561046656
1749976254.67134,-63.3600169510781
1749976304.67134,-61.6780982139732
1749976354.67134,-64.9027949083026
1749976404.67134,-60.6299568559189
1749976454.67134,-63.7934929366127
1749976504.67134,-60.8302578966108
1749976554.67134,-61.5244316290934
1749976604.67134,-60.3180371840739
1749976654.67134,-60.9762788216462
1749976704.67134,-58.3433114742355
1749976754.67134,-59.8463351208029
1749976804.67134,-58.2462188832978
1749976854.67134,-59.3753977881676
1749976904.67134,-60.031346004819
1749976954.67134,-59.9243146728725
1749977004.67134,-59.7087232533563
1749977054.67134,-61.5351338985223
1749977104.67134,-59.2698951857091
1749977154.67134,-60.5206310184439
1749977204.67134,-57.5046449712327
1749977254.67134,-58.1819994124572
1749977304.67134,-57.8914860566582
1749977354.67134,-56.7554264185931
1749977404.67134,-57.5451636204987
1749977454.67134,-60.2232367073011
1749977504.67134,-58.9358043234391
1749977554.67134,-59.6108652914724
1749977604.67134,-57.5925627416087
1749977654.67134,-57.5474566885956
1749977704.67134,-56.399164849398
1749977754.67134,-63.5190323381128
1749977804.67134,-60.042047647005
1749977854.67134,-60.3944860465213
1749977904.67134,-58.8058373187157
1749977954.67134,-58.5275560987113
1749978004.67134,-58.4885661527982
1749978054.67134,-65.8416086778287
1749978104.67134,-60.8562486762028
1749978154.67134,-59.5474101069705
1749978204.67134,-59.5107136473162
1749978254.67134,-58.7645532593009
1749978304.67134,-57.4778854100612
1749978354.67134,-61.0099145554344
1749978404.67134,-59.2958864880036
1749978454.67134,-60.0221694724067
1749978504.67134,-59.0267792914399
1749978554.67134,-56.9572547252062
1749978604.67134,-53.3923515711417
1749978654.67134,-53.3525971167415
1749978704.67134,-54.0819381350933
1749978754.67134,-55.3854250273075
1749978804.67134,-56.4014567675496
1749978854.67134,-59.9006119565016
1749978904.67134,-58.6575210648954
1749978954.67134,-58.0841396080473
1749979004.67134,-58.035211051801
1749979054.67134,-61.6903260374729
1749979104.67134,-59.8425089063825
1749979154.67134,-56.2699606543788
1749979204.67134,-55.545971051694
1749979254.67134,-57.0902781565684
1749979304.67134,-56.2630799342512
1749979354.67134,-61.2537911685982
1749979404.67134,-57.7095297044846
1749979454.67134,-60.0137583109406
1749979504.67134,-55.8601835172172
1749979554.67134,-54.7095982048283
1749979604.67134,-54.7180077851196
1749979654.67134,-55.949630853405
1749979704.67134,-56.5688826365372
1749979754.67134,-56.6919683984306
1749979804.67134,-56.5986982845909
1749979854.67134,-54.4374327129648
1749979904.67134,-54.7608197899688
1749979954.67134,-56.8387537143452
1749980004.67134,-56.7064937199302
1749980054.67134,-58.4228151690793
1749980104.67134,-57.4289540965597
1749980154.67134,-59.5848679519649
1749980204.67134,-59.4633110241
1749980254.67134,-58.8440590057517
1749980304.67134,-58.9503256724003
1749980354.67134,-58.354008908667
1749980404.67134,-55.2592784872777
1749980454.67134,-55.8296017925691
1749980504.67134,-57.9067712215259
1749980554.67134,-59.3134668117778
1749980604.67134,-57.0902759873534
1749980654.67134,-56.7837080709319
1749980704.67134,-53.8197084832401
