Trace
Swept SA
A.03.08,N9010A
507 P07 FS1 ,01
Segment,0
Number of Points,1001
Sweep Time,4.362
Start Frequency,1749950954.67134
Stop Frequency,1750000954.67134
Average Count,0
Average Type,LogPower(Video)
RBW,300
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,30
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Wide
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Clearwrite
Detector,Normal
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
1749950954.67134,-72.990177197774
1749951004.67134,-76.134600527206
1749951054.67134,-72.6599093095094
1749951104.67134,-73.1881846480466
1749951154.67134,-71.5681911115497
1749951204.67134,-79.5106696281556
1749951254.67134,-70.2845810875978
1749951304.67134,-69.0843027236031
1749951354.67134,-69.0881252529914
1749951404.67134,-69.6982029474652
1749951454.67134,-71.5032073812857
1749951504.67134,-73.2264094591696
1749951554.67134,-72.5979833522428
1749951604.67134,-74.912150451564
1749951654.67134,-73.1186134232425
1749951704.67134,-70.9940442982631
1749951754.67134,-70.973402556062
1749951804.67134,-71.6102379823488
1749951854.67134,-71.5070293235338
1749951904.67134,-72.9542438114553
1749951954.67134,-70.9244737127894
1749952004.67134,-72.2745956097932
1749952054.67134,-72.5582282063419
1749952104.67134,-74.204979318081
1749952154.67134,-72.6148015473459
1749952204.67134,-71.0506171434598
1749952254.67134,-69.8373421090882
1749952304.67134,-70.3006342131686
1749952354.67134,-70.5789151850693
1749952404.67134,-70.6943559274888
1749952454.67134,-70.7356393336056
1749952504.67134,-72.4680154220025
1749952554.67134,-68.6867563139996
1749952604.67134,-70.3862586418289
1749952654.67134,-68.8358354559496
1749952704.67134,-72.2982942116625
1749952754.67134,-68.3320241019554
1749952804.67134,-68.291505139088
1749952854.67134,-68.3045016398467
1749952904.67134,-66.7326721119462
1749952954.67134,-67.0644687823291
1749953004.67134,-69.5789370530977
1749953054.67134,-69.224205036767
1749953104.67134,-69.1875086163354
1749953154.67134,-69.7593608212131
1749953204.67134,-72.2860613191093
1749953254.67134,-70.76927642838
1749953304.67134,-73.5536162342612
1749953354.67134,-73.5536162342612
1749953404.67134,-74.6315730837385
1749953454.67134,-72.951947754767
1749953504.67134,-72.4060886557872
1749953554.67134,-72.3533375571251
1749953604.67134,-72.346456850265
1749953654.67134,-69.326648234623
1749953704.67134,-68.7188639090399
1749953754.67134,-68.7249799638897
1749953804.67134,-68.3824800311633
1749953854.67134,-67.5858621222977
1749953904.67134,-67.0575866924276
1749953954.67134,-68.0086351982729
1749954004.67134,-70.4825845844595
1749954054.67134,-70.9183542394788
1749954104.67134,-72.2715342226215
1749954154.67134,-71.6996818872682
1749954204.67134,-69.9887117233705
1749954254.67134,-69.7081370824851
1749954304.67134,-69.7303077503276
1749954354.67134,-69.3801627327296
1749954404.67134,-69.7333656407531
1749954454.67134,-69.8663900000921
1749954504.67134,-70.8678960269477
1749954554.67134,-71.9986040533724
1749954604.67134,-72.5131181217126
1749954654.67134,-69.6041632758524
1749954704.67134,-73.2049981460279
1749954754.67134,-72.1522699852942
1749954804.67134,-70.015468580997
1749954854.67134,-66.8955093665836
1749954904.67134,-66.4696780870414
1749954954.67134,-67.7280590177754
1749955004.67134,-70.4420640689324
1749955054.67134,-69.9229626756705
1749955104.67134,-71.1477052329691
1749955154.67134,-69.902320829089
1749955204.67134,-71.9366777829644
1749955254.67134,-70.454295852443
1749955304.67134,-71.6866833510901
1749955354.67134,-70.0177612714146
1749955404.67134,-73.4970393182256
1749955454.67134,-72.8265653358376
1749955504.67134,-75.3165693611121
1749955554.67134,-70.9397581285586
1749955604.67134,-68.6989837135298
1749955654.67134,-65.2097668867673
1749955704.67134,-68.9627389850316
1749955754.67134,-67.1386217607466
1749955804.67134,-70.9764542488962
1749955854.67134,-67.9237717161158
1749955904.67134,-66.2663172376526
1749955954.67134,-65.5721434530198
1749956004.67134,-65.5721434399722
1749956054.67134,-66.67227107472
1749956104.67134,-70.659947265497
1749956154.67134,-70.1752487280625
1749956204.67134,-71.4122233950607
1749956254.67134,-69.0032570476174
1749956304.67134,-70.3778432814483
1749956354.67134,-69.6553827219329
1749956404.67134,-75.435831262926
1749956454.67134,-69.942073182812
1749956504.67134,-69.9000252029702
1749956554.67134,-69.5682283760166
1749956604.67134,-69.334288765896
1749956654.67134,-71.3946389952876
1749956704.67134,-69.0705331290625
1749956754.67134,-69.0705331290625
1749956804.67134,-70.6003144422651
1749956854.67134,-67.325160031052
1749956904.67134,-68.2058737691255
1749956954.67134,-70.0728033512639
1749957004.67134,-70.0177587140927
1749957054.67134,-70.4206546607345
1749957104.67134,-72.6453742018194
1749957154.67134,-69.4955991694541
1749957204.67134,-69.4787798653084
1749957254.67134,-69.078941900425
1749957304.67134,-72.9381806392629
1749957354.67134,-69.7983441389454
1749957404.67134,-70.8128468883682
1749957454.67134,-69.2073789217946
1749957504.67134,-66.4283905318004
1749957554.67134,-66.406219772625
1749957604.67134,-67.8236183643092
1749957654.67134,-66.7647740052026
1749957704.67134,-69.9367196662677
1749957754.67134,-67.4612412109165
1749957804.67134,-68.0927250386505
1749957854.67134,-67.9199461075032
1749957904.67134,-67.884014130321
1749957954.67134,-69.9940573722357
1749958004.67134,-70.7081083253447
1749958054.67134,-66.2716654046971
1749958104.67134,-66.0560739591258
1749958154.67134,-65.8542436924186
1749958204.67134,-65.6195394563828
1749958254.67134,-65.6195394563828
1749958304.67134,-70.6729404652228
1749958354.67134,-69.2310772757603
1749958404.67134,-70.0177565351501
1749958454.67134,-68.2257485107554
1749958504.67134,-68.3541859105043
