Trace
Swept SA
A.03.08,N9010A
507 P07 FS1 ,01
Segment,0
Number of Points,1001
Sweep Time,4.362
Start Frequency,1749950954.67134
Stop Frequency,1750000954.67134
Average Count,0
Average Type,LogPower(Video)
RBW,300
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,30
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Wide
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Clearwrite
Detector,Normal
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
1749950954.67134,-70.1067731849719
1749951004.67134,-70.4217506555495
1749951054.67134,-71.7474082938915
1749951104.67134,-70.2986645669671
1749951154.67134,-70.1893398402347
1749951204.67134,-70.2145684896356
1749951254.67134,-69.5005175103515
1749951304.67134,-73.0631269952113
1749951354.67134,-71.2038423021513
1749951404.67134,-73.8039355493978
1749951454.67134,-69.5700874429271
1749951504.67134,-70.0838370548303
1749951554.67134,-70.2069229081967
1749951604.67134,-71.4026140383825
1749951654.67134,-68.2421358609617
1749951704.67134,-70.041788826685
1749951754.67134,-67.6312933967695
1749951804.67134,-67.631293383702
1749951854.67134,-69.6128993171007
1749951904.67134,-70.4324523630733
1749951954.67134,-73.0990579271087
1749952004.67134,-78.8053491185115
1749952054.67134,-74.1999499134129
1749952104.67134,-78.2434352236331
1749952154.67134,-74.062338202777
1749952204.67134,-72.2879139256574
1749952254.67134,-70.8720441420865
1749952304.67134,-71.2703530377653
1749952354.67134,-74.9522258074205
1749952404.67134,-71.4981763447925
1749952454.67134,-68.3147629258243
1749952504.67134,-67.9263925882084
1749952554.67134,-68.320878863046
1749952604.67134,-67.5380220937818
1749952654.67134,-69.7749738880294
1749952704.67134,-72.0103965999648
1749952754.67134,-68.9775912745631
1749952804.67134,-70.459973191977
1749952854.67134,-68.9890588888031
1749952904.67134,-71.6312000375059
1749952954.67134,-69.6878194892629
1749953004.67134,-71.7007701791625
1749953054.67134,-71.535636241394
1749953104.67134,-69.347612872717
1749953154.67134,-66.6397237327666
1749953204.67134,-66.0510521584454
1749953254.67134,-68.1641535647044
1749953304.67134,-70.1404079256254
1749953354.67134,-70.4248050305813
1749953404.67134,-75.2763757463991
1749953454.67134,-72.0799656178112
1749953504.67134,-72.7672587347067
1749953554.67134,-68.6870768472241
1749953604.67134,-68.2474843756303
1749953654.67134,-66.5732106711268
1749953704.67134,-68.771937041016
1749953754.67134,-66.5976749296486
1749953804.67134,-67.6335838121516
1749953854.67134,-68.0968758116316
1749953904.67134,-68.069353493026
1749953954.67134,-70.0884203292284
1749954004.67134,-69.8361323847201
1749954054.67134,-68.1664457834099
1749954104.67134,-66.5319265463742
1749954154.67134,-66.5319265463742
1749954204.67134,-68.8048101872484
1749954254.67134,-67.1091303235096
1749954304.67134,-67.6129412989445
1749954354.67134,-69.1075552998828
1749954404.67134,-70.7726547195944
1749954454.67134,-69.4615225726303
1749954504.67134,-71.6266104776113
1749954554.67134,-70.7864155718096
1749954604.67134,-68.9103116920318
1749954654.67134,-67.4179910205416
1749954704.67134,-68.6893685954974
1749954754.67134,-67.6427564112282
1749954804.67134,-71.6847126914065
1749954854.67134,-68.2169020760095
1749954904.67134,-68.3101720983763
1749954954.67134,-69.0135198150969
1749955004.67134,-70.3911640305663
1749955054.67134,-68.9714716000191
1749955104.67134,-70.0532511354953
1749955154.67134,-68.3254617715524
1749955204.67134,-66.9072984886551
1749955254.67134,-66.8507248475372
1749955304.67134,-68.6228553770468
1749955354.67134,-66.3278008332341
1749955404.67134,-68.0487093463738
1749955454.67134,-66.7895638941451
1749955504.67134,-67.0028615921864
1749955554.67134,-65.2345533306938
1749955604.67134,-66.1274992567723
1749955654.67134,-64.5594922973228
1749955704.67134,-72.3376015281505
1749955754.67134,-69.6702312726821
1749955804.67134,-72.7840742886425
1749955854.67134,-69.3911855572581
1749955904.67134,-72.4064069914416
1749955954.67134,-66.4784080120714
1749956004.67134,-68.4149079708624
1749956054.67134,-66.4822305414397
1749956104.67134,-71.7672775956162
1749956154.67134,-67.3767051970061
1749956204.67134,-69.304031027816
1749956254.67134,-68.817803656113
1749956304.67134,-72.0669645566939
1749956354.67134,-69.0005208970595
1749956404.67134,-69.6350629152729
1749956454.67134,-68.8292708260559
1749956504.67134,-70.0685390445507
1749956554.67134,-68.6878367428624
1749956604.67134,-70.1579863807385
1749956654.67134,-68.5486959499144
1749956704.67134,-70.7328966585475
1749956754.67134,-67.9493211783676
1749956804.67134,-68.6549624466848
1749956854.67134,-70.1312281916608
1749956904.67134,-69.6564683949951
1749956954.67134,-67.2360343939492
1749957004.67134,-67.4218099432632
1749957054.67134,-66.8300801912502
1749957104.67134,-67.7344936923659
1749957154.67134,-66.8300801781826
1749957204.67134,-72.1824039530947
1749957254.67134,-66.4738189226089
1749957304.67134,-68.0097164341245
1749957354.67134,-64.3431336512668
1749957404.67134,-64.3469561806351
1749957454.67134,-65.2184958168026
1749957504.67134,-71.2267678345012
1749957554.67134,-69.0066351354984
1749957604.67134,-71.6594795336972
1749957654.67134,-67.2260946728734
1749957704.67134,-68.8743749320025
1749957754.67134,-65.9287236002729
1749957804.67134,-65.9287236002729
1749957854.67134,-64.8859338931017
1749957904.67134,-64.9073401176748
1749957954.67134,-66.7842083099263
1749958004.67134,-65.4715471982581
1749958054.67134,-65.3928027456745
1749958104.67134,-66.7773275636635
1749958154.67134,-65.4134442788146
1749958204.67134,-66.8140237881017
1749958254.67134,-64.4234056964606
1749958304.67134,-67.6496314208319
1749958354.67134,-69.3797139966149
1749958404.67134,-66.839252215354
1749958454.67134,-66.5999610458032
