Trace
Swept SA
A.03.08,N9010A
507 P07 FS1 ,01
Segment,0
Number of Points,1001
Sweep Time,4.362
Start Frequency,1749973204.67134
Stop Frequency,1750023204.67134
Average Count,0
Average Type,LogPower(Video)
RBW,300
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,30
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Wide
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Clearwrite
Detector,Normal
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
1749973204.67134,-68.4554707223671
1749973254.67134,-69.8568147401413
1749973304.67134,-68.2895722369088
1749973354.67134,-71.1985269783085
1749973404.67134,-69.0235003584538
1749973454.67134,-71.1992913953227
1749973504.67134,-67.9646558554441
1749973554.67134,-70.1641467338205
1749973604.67134,-68.2115919922585
1749973654.67134,-72.4744912382956
1749973704.67134,-69.2375621206852
1749973754.67134,-70.7558760023337
1749973804.67134,-68.8461337491206
1749973854.67134,-71.1878230754345
1749973904.67134,-67.0235452804987
1749973954.67134,-67.8293371737024
1749974004.67134,-70.6901278804106
1749974054.67134,-70.3835598333135
1749974104.67134,-68.4608209488861
1749974154.67134,-70.9301833101649
1749974204.67134,-71.6755790459499
1749974254.67134,-76.0432159155262
1749974304.67134,-75.23054332833
1749974354.67134,-79.1975777636984
1749974404.67134,-74.7940087077389
1749974454.67134,-74.3559453053896
1749974504.67134,-72.6067497822113
1749974554.67134,-73.4454155534307
1749974604.67134,-73.1541378328877
1749974654.67134,-71.706923083735
1749974704.67134,-71.7076875791546
1749974754.67134,-73.4515313338417
1749974804.67134,-73.1755436131638
1749974854.67134,-73.5509173064978
1749974904.67134,-73.2244721432749
1749974954.67134,-79.8412929820961
1749975004.67134,-75.125804450305
1749975054.67134,-77.5401222135753
1749975104.67134,-75.5829805125632
1749975154.67134,-78.170841624015
1749975204.67134,-78.4934640226536
1749975254.67134,-80.6860743246455
1749975304.67134,-78.0729842240362
1749975354.67134,-78.6738878557467
1749975404.67134,-76.2014673167761
1749975454.67134,-77.2786596837213
1749975504.67134,-73.2772221442819
1749975554.67134,-74.7771877569006
1749975604.67134,-72.4607269623796
1749975654.67134,-72.5165360688752
1749975704.67134,-72.6732601257986
1749975754.67134,-74.2848440428815
1749975804.67134,-71.9890250036491
1749975854.67134,-78.4170122461401
1749975904.67134,-72.865151442456
1749975954.67134,-73.6632982638555
1749976004.67134,-72.8773835651831
1749976054.67134,-75.0095976182835
1749976104.67134,-73.306272669673
1749976154.67134,-73.8131416137188
1749976204.67134,-72.3108823580305
1749976254.67134,-72.3544593287315
1749976304.67134,-78.3558508745861
1749976354.67134,-74.9599040308477
1749976404.67134,-73.1923603301125
1749976454.67134,-72.911785663052
1749976504.67134,-72.911785663052
1749976554.67134,-77.7251309153088
1749976604.67134,-76.62041611215
1749976654.67134,-75.6708964534807
1749976704.67134,-73.6793518052083
1749976754.67134,-79.0056823568945
1749976804.67134,-74.2114495423981
1749976854.67134,-79.8282933192078
1749976904.67134,-75.5990323159304
1749976954.67134,-77.2893604503807
1749977004.67134,-75.7075922728245
1749977054.67134,-77.3306438172148
1749977104.67134,-75.3712083816603
1749977154.67134,-75.3712083816603
1749977204.67134,-73.4270631419842
1749977254.67134,-75.9759343989959
1749977304.67134,-73.3980117149314
1749977354.67134,-75.3283956058251
1749977404.67134,-73.9239933711564
1749977454.67134,-72.8177495248881
1749977504.67134,-71.8835201143675
1749977554.67134,-72.7428276016728
1749977604.67134,-75.7091203881371
1749977654.67134,-71.5264943764418
1749977704.67134,-69.0120258968122
1749977754.67134,-71.7787820726664
1749977804.67134,-70.2505294761442
1749977854.67134,-70.2528229885381
1749977904.67134,-72.0861142362238
1749977954.67134,-72.440846121999
1749978004.67134,-73.901821658029
1749978054.67134,-75.6051465935719
1749978104.67134,-73.3888364370049
1749978154.67134,-75.1494993392071
1749978204.67134,-72.2221962111695
1749978254.67134,-73.1182001058589
1749978304.67134,-72.0249529300076
1749978354.67134,-72.5685183467752
1749978404.67134,-72.5685183467752
1749978454.67134,-74.1823956325088
1749978504.67134,-72.6885459571118
1749978554.67134,-72.9714140712284
1749978604.67134,-73.7397449962907
1749978654.67134,-74.571530178058
1749978704.67134,-73.1006157050058
1749978754.67134,-73.0058166395295
1749978804.67134,-73.3842483014744
1749978854.67134,-79.1807514682278
1749978904.67134,-76.5959482208464
1749978954.67134,-77.2060259152002
1749979004.67134,-74.2167975997021
1749979054.67134,-75.4361886105981
1749979104.67134,-71.9592039194903
1749979154.67134,-73.9163455943672
1749979204.67134,-70.8162636135678
1749979254.67134,-73.8253689406512
1749979304.67134,-72.3582771015077
1749979354.67134,-73.1694205149189
1749979404.67134,-75.1212105650478
1749979454.67134,-74.0440180282244
1749979504.67134,-74.2687834581136
1749979554.67134,-76.2626214750368
1749979604.67134,-72.5333489831638
1749979654.67134,-75.0508753922017
1749979704.67134,-73.6113057671233
1749979754.67134,-72.6304413519531
1749979804.67134,-70.8292592908501
1749979854.67134,-75.9614046998635
1749979904.67134,-72.3169926108634
1749979954.67134,-72.3169926108634
1749980004.67134,-69.6893767967277
1749980054.67134,-69.9011456346054
1749980104.67134,-72.6143861118175
1749980154.67134,-72.7030690832613
1749980204.67134,-71.0096826012408
1749980254.67134,-73.5539668073294
1749980304.67134,-71.0112116051476
1749980354.67134,-74.1265835727445
1749980404.67134,-72.8001613083073
1749980454.67134,-71.8651672455564
1749980504.67134,-71.8651672324888
1749980554.67134,-73.0876161597255
1749980604.67134,-70.7008206105203
1749980654.67134,-75.6204326601013
1749980704.67134,-73.0180457044474
