Trace
Swept SA
A.03.08,N9010A
507 P07 FS1 ,01
Segment,0
Number of Points,1001
Sweep Time,4.362
Start Frequency,1749950954.67134
Stop Frequency,1750000954.67134
Average Count,0
Average Type,LogPower(Video)
RBW,300
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,30
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Wide
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Clearwrite
Detector,Normal
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
1749950954.67134,-86.0987616933934
1749951004.67134,-89.137682890679
1749951054.67134,-85.0391527995045
1749951104.67134,-87.3319136871801
1749951154.67134,-86.4710770914276
1749951204.67134,-88.6292844722943
1749951254.67134,-85.5636052558093
1749951304.67134,-86.7493579324726
1749951354.67134,-85.3548944257452
1749951404.67134,-87.0406355223401
1749951454.67134,-84.4550677011337
1749951504.67134,-89.4901205192093
1749951554.67134,-87.0429287603152
1749951604.67134,-88.2944291146047
1749951654.67134,-87.7026994279295
1749951704.67134,-90.3295505506322
1749951754.67134,-85.8480016289817
1749951804.67134,-87.9511644379751
1749951854.67134,-86.3204678609833
1749951904.67134,-87.9542223673833
1749951954.67134,-85.8388272919196
1749952004.67134,-87.8487200524111
1749952054.67134,-88.2669060511482
1749952104.67134,-85.6507579296578
1749952154.67134,-85.6522869335646
1749952204.67134,-86.405327701951
1749952254.67134,-91.0122557802808
1749952304.67134,-88.201157929225
1749952354.67134,-86.8410972913525
1749952404.67134,-89.6995944464641
1749952454.67134,-86.9282511151464
1749952504.67134,-91.1124059608701
1749952554.67134,-85.3487763323759
1749952604.67134,-84.3250994288568
1749952654.67134,-83.0904181044743
1749952704.67134,-84.1683750975147
1749952754.67134,-82.8847653083588
1749952804.67134,-84.9435865466912
1749952854.67134,-85.4045850729799
1749952904.67134,-86.2080834276544
1749952954.67134,-88.3999291688889
1749953004.67134,-91.5886939512539
1749953054.67134,-87.0987355407851
1749953104.67134,-88.453444514707
1749953154.67134,-83.5705286895641
1749953204.67134,-86.7990479785996
1749953254.67134,-84.3724979227239
1749953304.67134,-84.3724979227239
1749953354.67134,-83.9596631567079
1749953404.67134,-85.3036690379446
1749953454.67134,-82.7876714890704
1749953504.67134,-83.3954556971654
1749953554.67134,-82.8503611719505
1749953604.67134,-84.6148465773858
1749953654.67134,-81.949769873514
1749953704.67134,-83.034607442939
1749953754.67134,-81.7471750982797
1749953804.67134,-85.5307274313903
1749953854.67134,-85.5307274313903
1749953904.67134,-88.2913674740093
1749953954.67134,-82.2532792855547
1749954004.67134,-85.0062742955723
1749954054.67134,-83.2509628351723
1749954104.67134,-85.5788909956496
1749954154.67134,-85.4443374888407
1749954204.67134,-90.9380953469462
1749954254.67134,-87.8089620044317
1749954304.67134,-88.5581803087877
1749954354.67134,-86.0964628102321
1749954404.67134,-88.4220976543288
1749954454.67134,-84.8961844592449
1749954504.67134,-86.6927792995466
1749954554.67134,-85.2776739460576
1749954604.67134,-82.7677925042834
1749954654.67134,-82.3572513421343
1749954704.67134,-83.7945272457378
1749954754.67134,-82.7012800568189
1749954804.67134,-85.9443249809754
1749954854.67134,-83.8396330504672
1749954904.67134,-88.9534302035184
1749954954.67134,-84.7593365253129
1749955004.67134,-82.385537633457
1749955054.67134,-82.1798848373416
1749955104.67134,-86.0008981516611
1749955154.67134,-85.7746035610544
1749955204.67134,-85.1377678736363
1749955254.67134,-84.9626954170076
1749955304.67134,-85.2195701249524
1749955354.67134,-85.1477063140912
1749955404.67134,-86.8808469760931
1749955454.67134,-86.1606799419793
1749955504.67134,-92.6605309430613
1749955554.67134,-82.9291023184413
1749955604.67134,-85.1148320309811
1749955654.67134,-83.7975838422548
1749955704.67134,-84.0422264274726
1749955754.67134,-84.0414619059178
1749955804.67134,-83.2157925960344
1749955854.67134,-83.0055527359284
1749955904.67134,-83.8610376285277
1749955954.67134,-86.297526072588
1749956004.67134,-84.2570528550018
1749956054.67134,-83.8090508292518
1749956104.67134,-85.5613041772978
1749956154.67134,-86.6178548804273
1749956204.67134,-84.6362487379476
1749956254.67134,-82.9894973389821
1749956304.67134,-84.1538437910724
1749956354.67134,-82.9703846137354
1749956404.67134,-83.729541423884
1749956454.67134,-80.7915352031613
1749956504.67134,-84.1981849697066
1749956554.67134,-87.7042207481107
1749956604.67134,-83.991767456023
1749956654.67134,-83.5223591272945
1749956704.67134,-84.751688800794
1749956754.67134,-81.80985995923
1749956804.67134,-80.5170760682281
1749956854.67134,-79.9559268125125
1749956904.67134,-85.3525921580857
1749956954.67134,-83.1867394440636
1749957004.67134,-85.1477036613764
1749957054.67134,-81.3213386047009
1749957104.67134,-81.3266901510435
1749957154.67134,-82.1026661217747
1749957204.67134,-82.120249803912
1749957254.67134,-84.0001760954499
1749957304.67134,-83.1599811243104
1749957354.67134,-79.734983036465
1749957404.67134,-80.6898541108013
1749957454.67134,-82.0223922993926
1749957504.67134,-87.1606537763034
1749957554.67134,-82.5093840881099
1749957604.67134,-87.9679745819409
1749957654.67134,-84.6675912729632
1749957704.67134,-85.6499847051078
1749957754.67134,-82.4336973297185
1749957804.67134,-85.3120717316315
1749957854.67134,-80.3672307451632
1749957904.67134,-80.3672307451632
1749957954.67134,-82.0934907785104
1749958004.67134,-82.9459177155664
1749958054.67134,-81.449009967018
1749958104.67134,-83.4726638672109
1749958154.67134,-83.4726638672109
1749958204.67134,-86.9672320183075
1749958254.67134,-83.8832046896034
1749958304.67134,-82.9459171797964
1749958354.67134,-81.094277571608
1749958404.67134,-84.3273838854313
1749958454.67134,-83.2907103376304
1749958504.67134,-86.8212104006914
